"Compound","KEGG_ID","KEGG_Pathways"
"Arg","cpd:C00062","Arginine biosynthesis; Monobactam biosynthesis; Arginine and proline metabolism; Clavulanic acid biosynthesis; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; ABC transporters; Efferocytosis; mTOR signaling pathway; Protein digestion and absorption; Amyotrophic lateral sclerosis; Pathways of neurodegeneration - multiple diseases; Chagas disease; Amoebiasis; Central carbon metabolism in cancer"
"Dimethylphtalate",NA,NA
"Glu","cpd:C00025","Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Carbapenem biosynthesis; Histidine metabolism; Taurine and hypotaurine metabolism; D-Amino acid metabolism; Glutathione metabolism; Neomycin, kanamycin and gentamicin biosynthesis; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; C5-Branched dibasic acid metabolism; Porphyrin metabolism; Nitrogen metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various siderophores; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; ABC transporters; Two-component system; FoxO signaling pathway; Phospholipase D signaling pathway; Neuroactive ligand-receptor interaction; Neuroactive ligand signaling; Ferroptosis; Gap junction; Circadian entrainment; Long-term potentiation; Synaptic vesicle cycle; Retrograde endocannabinoid signaling; Glutamatergic synapse; GABAergic synapse; Long-term depression; Taste transduction; Proximal tubule bicarbonate reclamation; Protein digestion and absorption; Amyotrophic lateral sclerosis; Huntington disease; Spinocerebellar ataxia; Pathways of neurodegeneration - multiple diseases; Cocaine addiction; Amphetamine addiction; Nicotine addiction; Alcoholism; Prostate cancer; Central carbon metabolism in cancer"
"Gln","cpd:C01640",NA
"Dehydroabietate","cpd:C12078",NA
"caprylate","cpd:C12292",NA
"Sulfamate","cpd:C01614",NA
"4-hydroxyphenylacetate","cpd:C00642","Tyrosine metabolism; Phenylalanine metabolism; Degradation of flavonoids; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds"
"Aconitate","cpd:C00417","Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; C5-Branched dibasic acid metabolism; Other carbon fixation pathways; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; 2-Oxocarboxylic acid metabolism"
"4-hydroxymandelate","cpd:C03198","Monobactam biosynthesis; Aminobenzoate degradation; Biosynthesis of vancomycin group antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments"
